,station_id,region_id,name,lon,lat,precinct
0,72,71,W 52 St & 11 Ave,-73.99392888,40.76727216,18.0
37,281,71,Grand Army Plaza & Central Park S,-73.97371465,40.7643971,18.0
78,352,71,W 56 St & 6 Ave,-73.97722479,40.76340613,18.0
82,359,71,E 47 St & Park Ave,-73.97498696,40.75510267,18.0
111,422,71,W 59 St & 10 Ave,-73.988038,40.770513,18.0
112,423,71,W 54 St & 9 Ave,-73.98690506,40.76584941,18.0
125,447,71,8 Ave & W 52 St,-73.9851615,40.76370739,18.0
127,450,71,W 49 St & 8 Ave,-73.98788205,40.76227205,18.0
131,456,71,E 53 St & Madison Ave,-73.97402311,40.7597108,18.0
132,457,71,Broadway & W 58 St,-73.98169333,40.76695317,18.0
139,468,71,Broadway & W 56 St,-73.98192338,40.7652654,18.0
140,469,71,Broadway & W 53 St,-73.98268129,40.76344058,18.0
149,480,71,W 53 St & 10 Ave,-73.99061728,40.76669671,18.0
159,495,71,W 47 St & 10 Ave,-73.99301222,40.76269882,18.0
162,500,71,Broadway & W 51 St,-73.98336183,40.76228826,18.0
169,508,71,W 46 St & 11 Ave,-73.99667444,40.76341379,18.0
171,510,71,W 51 St & 6 Ave,-73.98042047,40.7606597,18.0
174,513,71,W 56 St & 10 Ave,-73.988639,40.768254,18.0
178,522,71,E 51 St & Lexington Ave,-73.97207836,40.75714758,18.0
183,530,71,11 Ave & W 59 St,-73.9904603362083,40.7714967105444,18.0
196,2021,71,W 45 St & 8 Ave,-73.98859651,40.75929124,18.0
239,3233,71,E 48 St & 5 Ave,-73.978059142828,40.7572456791173,18.0
306,3443,71,W 52 St & 6 Ave,-73.9798200130463,40.7613298312481,18.0
307,3457,71,E 58 St & Madison Ave,-73.9720952510834,40.7630259428052,18.0
373,3699,71,W 50 St & 9 Ave,-73.9891795814037,40.7636046779586,18.0
381,3724,71,7 Ave & Central Park South,-73.9790689945221,40.7667405590595,18.0
383,3731,71,W 47 St & 6 Ave,-73.98255,40.758397,18.0
399,3809,71,W 55 St & 6 Ave,-73.978434,40.763189,18.0
402,3814,71,E 56 St & Madison Ave,-73.972628,40.761573,18.0
479,4058,71,Madison Av & E 51 St,-73.97513,40.75863,18.0
492,4073,71,W 51 St & Rockefeller Plaza,-73.9781161397696,40.7597380525114,18.0
518,4232,71,6 Ave & W 45 St,-73.982631,40.756951,18.0
520,4235,71,W 50 St & 10 Ave,-73.9919435977936,40.7647342000652,18.0
521,4236,71,W 54 St & 11 Ave,-73.992573,40.768333,18.0
522,4238,71,W 44 St & 11 Ave,-73.996975,40.762009,18.0
523,4239,71,E 50 St & Park Ave,-73.974235,40.757334,18.0
589,4642,71,Broadway	& W 48 St,-73.9848679304123,40.7601773953778,18.0
595,4651,71,8 Ave & W 49 St,-73.9865510165691,40.7617122791067,18.0
603,4687,71,W 48 St &  Rockefeller Plaza,-73.9792943000793,40.7577693544831,18.0
