,direction_id,route_id,stop_id,stop_sequence,stop_name,stop_lat,stop_lon,precinct
0,0,M57,400751,1,W 72 ST/BROADWAY,40.779127,-73.982766,20.0
1,0,M57,403036,2,WEST END AV/W 72 ST,40.779534,-73.98481,20.0
2,0,M57,403037,3,WEST END AV/W 69 ST,40.777468,-73.986337,20.0
3,0,M57,403038,4,WEST END AV/W 66 ST,40.77618,-73.987276,20.0
4,0,M57,404826,5,WEST END AV/W 64 ST,40.77449,-73.98841,20.0
5,0,M57,404036,6,WEST END AV/W 61 ST,40.772991,-73.989602,20.0
72,0,M72,405086,3,WEST END AV/WEST 70 ST,40.778725,-73.985135,20.0
73,0,M72,400853,4,W 72 ST/WEST END AV,40.779553,-73.984116,20.0
76,0,M72,405308,1,WEST 66 ST/FREEDOM PL,40.7765,-73.988634,20.0
77,0,M72,404865,2,W 70 ST/FREEDOM PL,40.778911,-73.986687,20.0
78,0,M72,405237,5,W 72 ST/BROADWAY,40.778765,-73.982161,20.0
79,0,M72,403606,6,W 72 ST/COLUMBUS AV,40.777403,-73.979019,20.0
80,0,M72,402269,7,W 72 ST/CENTRAL PK W,40.776206,-73.976177,20.0
81,0,M72,401344,8,CENTRAL PK W/W 70 ST,40.774837,-73.97716,20.0
82,0,M72,401345,9,CENTRAL PK W/W 68 ST,40.773569,-73.978045,20.0
91,0,M5,400751,19,W 72 ST/BROADWAY,40.779127,-73.982766,20.0
111,0,M5,401016,15,BROADWAY/W 61 ST,40.769517,-73.981883,20.0
112,0,M5,400747,16,BROADWAY/W 63 ST,40.77186,-73.981984,20.0
113,0,M5,403271,17,BROADWAY/W 66 ST,40.774269,-73.982027,20.0
114,0,M5,400750,18,BROADWAY/W 69 ST,40.776682,-73.981922,20.0
126,0,M5,400752,20,W 72 ST/WEST END AV,40.780124,-73.984968,20.0
127,0,M5,404289,21,RIVERSIDE DR/W 74 ST,40.78204,-73.98487,20.0
128,0,M5,400755,22,RIVERSIDE DR/W 77 ST,40.783989,-73.983566,20.0
129,0,M5,400756,23,RIVERSIDE DR/W 79 ST,40.785215,-73.982281,20.0
130,0,M5,404290,24,RIVERSIDE DR/W 82 ST,40.787205,-73.98111,20.0
131,0,M5,400759,25,RIVERSIDE DR/W 85 ST,40.789293,-73.98076,20.0
338,0,M20,403510,39,W 66 ST/CENTRAL PK W,40.772619,-73.979118,20.0
339,0,M20,403779,40,W 66 ST/COLUMBUS AV,40.773578,-73.981381,20.0
340,0,M20,400858,41,BROADWAY/W 64 ST,40.771797,-73.982364,20.0
754,0,M7,401024,28,AMSTERDAM AV/W 79 ST,40.78328,-73.978085,20.0
768,0,M7,401016,21,BROADWAY/W 61 ST,40.769517,-73.981883,20.0
769,0,M7,400747,22,BROADWAY/W 63 ST,40.77186,-73.981984,20.0
770,0,M7,403271,23,BROADWAY/W 66 ST,40.774269,-73.982027,20.0
771,0,M7,400750,24,BROADWAY/W 69 ST,40.776682,-73.981922,20.0
772,0,M7,401021,25,AMSTERDAM AV/W 72 ST,40.778924,-73.981271,20.0
773,0,M7,401022,26,AMSTERDAM AV/W 75 ST,40.780222,-73.980314,20.0
774,0,M7,401023,27,AMSTERDAM AV/W 77 ST,40.782056,-73.978988,20.0
775,0,M7,401025,29,AMSTERDAM AV/W 81 ST,40.784688,-73.97707,20.0
776,0,M7,401026,30,AMSTERDAM AV/W 83 ST,40.785955,-73.976152,20.0
819,0,M11,401024,30,AMSTERDAM AV/W 79 ST,40.78328,-73.978085,20.0
841,0,M11,401414,22,AMSTERDAM AV/W 59 ST,40.770631,-73.987328,20.0
842,0,M11,401416,23,AMSTERDAM AV/W 62 ST,40.772642,-73.985836,20.0
843,0,M11,401417,24,AMSTERDAM AV/W 65 ST,40.774341,-73.984619,20.0
844,0,M11,403472,25,AMSTERDAM AV/W 67 ST,40.775639,-73.98367,20.0
845,0,M11,403555,26,AMSTERDAM AV/W 69 ST,40.776913,-73.982741,20.0
846,0,M11,401021,27,AMSTERDAM AV/W 72 ST,40.778924,-73.981271,20.0
847,0,M11,401022,28,AMSTERDAM AV/W 75 ST,40.780222,-73.980314,20.0
848,0,M11,401023,29,AMSTERDAM AV/W 77 ST,40.782056,-73.978988,20.0
849,0,M11,401025,31,AMSTERDAM AV/W 81 ST,40.784688,-73.97707,20.0
850,0,M11,401026,32,AMSTERDAM AV/W 83 ST,40.785955,-73.976152,20.0
935,0,M104,401016,8,BROADWAY/W 61 ST,40.769517,-73.981883,20.0
936,0,M104,400747,9,BROADWAY/W 63 ST,40.77186,-73.981984,20.0
937,0,M104,403271,10,BROADWAY/W 66 ST,40.774269,-73.982027,20.0
938,0,M104,400750,11,BROADWAY/W 69 ST,40.776682,-73.981922,20.0
939,0,M104,403103,12,BROADWAY/W 73 ST,40.779589,-73.981517,20.0
940,0,M104,403104,13,BROADWAY/W 75 ST,40.781301,-73.981021,20.0
941,0,M104,403105,14,BROADWAY/W 77 ST,40.782726,-73.980497,20.0
942,0,M104,403106,15,BROADWAY/W 79 ST,40.784084,-73.979583,20.0
943,0,M104,403107,16,BROADWAY/W 82 ST,40.785994,-73.978167,20.0
944,0,M104,403108,17,BROADWAY/W 84 ST,40.787215,-73.977214,20.0
958,0,M66,403487,1,W 66 ST/WEST END AV,40.776008,-73.98702,20.0
959,0,M66,403488,2,W 65 ST/WEST END AV,40.775118,-73.98728,20.0
960,0,M66,403489,3,W 65 ST/AMSTERDAM AV,40.773871,-73.984293,20.0
961,0,M66,403491,4,W 65 ST/BROADWAY,40.773177,-73.982788,20.0
962,0,M66,403573,5,W 65 ST/COLUMBUS AV,40.772835,-73.981874,20.0
963,0,M66,403492,6,W 65 ST/CENTRAL PK W,40.77181,-73.979385,20.0
972,0,M79+,403522,1,W 79 ST/RIVERSIDE DR,40.784776,-73.982324,20.0
973,0,M79+,403523,2,W 79 ST/BROADWAY,40.783867,-73.980284,20.0
974,0,M79+,401024,3,AMSTERDAM AV/W 79 ST,40.78328,-73.978085,20.0
975,0,M79+,401867,4,W 81 ST/COLUMBUS AV,40.78298,-73.974189,20.0
976,0,M79+,401868,5,W 81 ST/CENTRAL PK W,40.782008,-73.971925,20.0
986,0,M86+,403560,1,W 86 ST/WEST END AV,40.788815,-73.977726,20.0
987,0,M86+,401930,2,W 86 ST/BROADWAY,40.788358,-73.97679,20.0
988,0,M86+,401897,3,W 86 ST/AMSTERDAM AV,40.78775,-73.975401,20.0
989,0,M86+,401898,4,W 86 ST/COLUMBUS AV,40.786476,-73.972389,20.0
990,0,M86+,401899,5,W 86 ST/CENTRAL PK W,40.785289,-73.969373,20.0
1352,1,M57,405353,17,WEST END AV/W 61 ST,40.77291,-73.989366,20.0
1353,1,M57,405468,18,WEST END AV/W 64 ST,40.77484,-73.98805,20.0
1354,1,M57,403076,19,WEST END AV/W 66 ST,40.776334,-73.986857,20.0
1355,1,M57,403608,20,WEST END AV/W 69 ST,40.777706,-73.985853,20.0
1356,1,M57,405086,21,WEST END AV/WEST 70 ST,40.778725,-73.985135,20.0
1357,1,M57,400853,22,W 72 ST/WEST END AV,40.779553,-73.984116,20.0
1358,1,M57,400854,23,W 72 ST/BROADWAY,40.778765,-73.982253,20.0
1418,1,M72,400751,15,W 72 ST/BROADWAY,40.779127,-73.982766,20.0
1419,1,M72,403036,16,WEST END AV/W 72 ST,40.779534,-73.98481,20.0
1431,1,M72,403610,12,W 72 ST/CENTRAL PK W,40.77647,-73.976318,20.0
1432,1,M72,403611,13,W 72 ST/COLUMBUS AV,40.777656,-73.979141,20.0
1433,1,M72,403612,14,W 72 ST/AMSTERDAM AV,40.778609,-73.981401,20.0
1434,1,M72,405071,17,W 70 ST/WEST END AV,40.778705,-73.985788,20.0
1435,1,M72,405112,18,RIVERSIDE BL/W 69 ST,40.77906,-73.988377,20.0
1436,1,M72,803056,19,W 66 ST/FREEDOM PL,40.776491,-73.988726,20.0
1437,1,M5,400853,41,W 72 ST/WEST END AV,40.779553,-73.984116,20.0
1438,1,M5,400860,47,BROADWAY/W 61 ST,40.76947,-73.982326,20.0
1442,1,M5,400858,46,BROADWAY/W 64 ST,40.771797,-73.982364,20.0
1460,1,M5,403168,42,BROADWAY/W 72 ST,40.778655,-73.982115,20.0
1461,1,M5,403169,43,BROADWAY/W 70 ST,40.776767,-73.982304,20.0
1462,1,M5,400856,44,BROADWAY/W 68 ST,40.775414,-73.982417,20.0
1463,1,M5,403171,45,BROADWAY/W 65 ST,40.773284,-73.982406,20.0
1480,1,M5,400846,35,RIVERSIDE DR/W 86 ST,40.789741,-73.9806,20.0
1481,1,M5,400847,36,RIVERSIDE DR/W 84 ST,40.788278,-73.981178,20.0
1482,1,M5,400848,37,RIVERSIDE DR/W 82 ST,40.786689,-73.981341,20.0
1483,1,M5,400849,38,RIVERSIDE DR/W 80 ST,40.785449,-73.982266,20.0
1484,1,M5,400851,39,RIVERSIDE DR/W 76 ST,40.783055,-73.984578,20.0
1485,1,M5,400852,40,RIVERSIDE DR/W 73 ST,40.781412,-73.985318,20.0
1662,1,M20,401348,1,BROADWAY/W 63 ST,40.770883,-73.982338,20.0
1663,1,M20,400860,2,BROADWAY/W 61 ST,40.76947,-73.982326,20.0
2122,1,M7,400860,38,BROADWAY/W 61 ST,40.76947,-73.982326,20.0
2137,1,M7,400858,37,BROADWAY/W 64 ST,40.771797,-73.982364,20.0
2138,1,M7,404838,31,COLUMBUS AV/W 80 ST,40.782804,-73.974976,20.0
2150,1,M7,401093,29,COLUMBUS AV/W 86 ST,40.786185,-73.97253,20.0
2151,1,M7,401094,30,COLUMBUS AV/W 84 ST,40.784895,-73.973466,20.0
2152,1,M7,401096,32,COLUMBUS AV/W 78 ST,40.780996,-73.976309,20.0
2153,1,M7,403372,33,COLUMBUS AV/W 75 ST,40.778875,-73.977858,20.0
2154,1,M7,401099,34,COLUMBUS AV/W 72 ST,40.777085,-73.97916,20.0
2155,1,M7,401100,35,COLUMBUS AV/W 69 ST,40.775251,-73.980548,20.0
2156,1,M7,405283,36,COLUMBUS AV/W 66 ST,40.773394,-73.981807,20.0
2178,1,M11,404838,29,COLUMBUS AV/W 80 ST,40.782804,-73.974976,20.0
2203,1,M11,401093,27,COLUMBUS AV/W 86 ST,40.786185,-73.97253,20.0
2204,1,M11,401094,28,COLUMBUS AV/W 84 ST,40.784895,-73.973466,20.0
2205,1,M11,401096,30,COLUMBUS AV/W 78 ST,40.780996,-73.976309,20.0
2206,1,M11,403372,31,COLUMBUS AV/W 75 ST,40.778875,-73.977858,20.0
2207,1,M11,401099,32,COLUMBUS AV/W 72 ST,40.777085,-73.97916,20.0
2208,1,M11,401100,33,COLUMBUS AV/W 69 ST,40.775251,-73.980548,20.0
2209,1,M11,405283,34,COLUMBUS AV/W 66 ST,40.773394,-73.981807,20.0
2210,1,M11,405290,35,COLUMBUS AV/W 63 ST,40.771841,-73.983006,20.0
2211,1,M11,404030,36,COLUMBUS AV/W 61 ST,40.770015,-73.984342,20.0
2233,1,M10,401348,44,BROADWAY/W 63 ST,40.770883,-73.982338,20.0
2234,1,M10,400860,45,BROADWAY/W 61 ST,40.76947,-73.982326,20.0
2237,1,M10,401344,40,CENTRAL PK W/W 70 ST,40.774837,-73.97716,20.0
2238,1,M10,401345,41,CENTRAL PK W/W 68 ST,40.773569,-73.978045,20.0
2271,1,M10,401337,33,CENTRAL PK W/W 86 ST,40.78504,-73.96969,20.0
2272,1,M10,401338,34,CENTRAL PK W/W 84 ST,40.78375,-73.970599,20.0
2273,1,M10,401339,35,CENTRAL PK W/W 81 ST,40.781964,-73.971889,20.0
2274,1,M10,404136,36,CENTRAL PK W/W 79 ST,40.780619,-73.972854,20.0
2275,1,M10,401341,37,CENTRAL PK W/W 77 ST,40.779398,-73.973786,20.0
2276,1,M10,401342,38,CENTRAL PK W/W 74 ST,40.777466,-73.97518,20.0
2277,1,M10,401343,39,CENTRAL PK W/W 72 ST,40.776132,-73.976188,20.0
2278,1,M10,404987,42,CENTRAL PK W/W 66 ST,40.772331,-73.97898,20.0
2279,1,M10,404988,43,CENTRAL PK W/W 64 ST,40.771082,-73.979842,20.0
2282,1,M104,400860,33,BROADWAY/W 61 ST,40.76947,-73.982326,20.0
2310,1,M104,403162,22,BROADWAY/W 86 ST,40.788066,-73.976942,20.0
2311,1,M104,403163,23,BROADWAY/W 84 ST,40.78682,-73.977979,20.0
2312,1,M104,403164,24,BROADWAY/W 82 ST,40.785596,-73.9789,20.0
2313,1,M104,403165,25,BROADWAY/W 79 ST,40.783599,-73.980392,20.0
2314,1,M104,403166,26,BROADWAY/W 76 ST,40.781642,-73.981411,20.0
2315,1,M104,403167,27,BROADWAY/W 74 ST,40.780165,-73.981863,20.0
2316,1,M104,403168,28,BROADWAY/W 72 ST,40.778655,-73.982115,20.0
2317,1,M104,403169,29,BROADWAY/W 70 ST,40.776767,-73.982304,20.0
2318,1,M104,400856,30,BROADWAY/W 68 ST,40.775414,-73.982417,20.0
2319,1,M104,403171,31,BROADWAY/W 65 ST,40.773284,-73.982406,20.0
2320,1,M104,404138,32,BROADWAY/W 63 ST,40.770614,-73.98227,20.0
2326,1,M66,403510,8,W 66 ST/CENTRAL PK W,40.772619,-73.979118,20.0
2327,1,M66,403779,9,W 66 ST/COLUMBUS AV,40.773578,-73.981381,20.0
2335,1,M66,403512,10,W 66 ST/BROADWAY,40.77413,-73.982724,20.0
2336,1,M66,403513,11,W 66 ST/AMSTERDAM AV,40.775049,-73.984749,20.0
2337,1,M66,803057,12,W 66 ST/WEST END AV,40.775906,-73.986807,20.0
2347,1,M79+,401890,10,W 81 ST/CENTRAL PK W,40.782268,-73.972066,20.0
2348,1,M79+,404838,11,COLUMBUS AV/W 80 ST,40.782804,-73.974976,20.0
2349,1,M79+,403733,12,W 79 ST/AMSTERDAM AV,40.783057,-73.977883,20.0
2350,1,M79+,401893,13,W 79 ST/BROADWAY,40.78404,-73.980165,20.0
2351,1,M79+,403477,14,W 79 ST/RIVERSIDE DR,40.784988,-73.982458,20.0
6,0,M57,403626,7,WEST END AV/W 59 ST,40.77141,-73.990797,18.0
7,0,M57,402205,8,W 57 ST/11 AV,40.77023,-73.991334,18.0
8,0,M57,403992,9,W 57 ST/10 AV,40.768866,-73.988149,18.0
9,0,M57,403984,10,W 57 ST/9 AV,40.767697,-73.98534,18.0
10,0,M57,403562,11,W 57 ST/8 AV,40.766592,-73.982719,18.0
11,0,M57,403736,12,W 57 ST/7 AV,40.765563,-73.980322,18.0
12,0,M57,403621,13,W 57 ST/AV OF THE AMERICAS,40.764061,-73.976728,18.0
13,0,M57,803095,14,W 57 ST/5 AV,40.763031,-73.974302,18.0
14,0,M57,403620,15,E 57 ST/MADISON AV,40.762047,-73.971943,18.0
21,0,M12,402205,17,W 57 ST/11 AV,40.77023,-73.991334,18.0
22,0,M12,403992,18,W 57 ST/10 AV,40.768866,-73.988149,18.0
23,0,M12,403984,19,W 57 ST/9 AV,40.767697,-73.98534,18.0
28,0,M12,402160,12,12 AV/W 43 ST,40.762552,-74.000157,18.0
29,0,M12,402161,13,12 AV/W 46 ST,40.764287,-73.998337,18.0
30,0,M12,402162,14,12 AV/W 48 ST,40.765583,-73.997431,18.0
38,0,M12,405459,15,12 AV/W 52 ST,40.768082,-73.995597,18.0
39,0,M12,405460,16,12 AV/W 55 ST,40.769942,-73.994246,18.0
40,0,M12,403846,20,8 AV/W  57 ST,40.76674,-73.982683,18.0
41,0,M12,405299,21,W 58 ST/BROADWAY,40.767155,-73.981981,18.0
42,0,M31,403992,3,W 57 ST/10 AV,40.768866,-73.988149,18.0
43,0,M31,403984,4,W 57 ST/9 AV,40.767697,-73.98534,18.0
44,0,M31,403736,6,W 57 ST/7 AV,40.765563,-73.980322,18.0
45,0,M31,403621,7,W 57 ST/AV OF THE AMERICAS,40.764061,-73.976728,18.0
46,0,M31,803095,8,W 57 ST/5 AV,40.763031,-73.974302,18.0
47,0,M31,403620,9,E 57 ST/MADISON AV,40.762047,-73.971943,18.0
56,0,M31,401412,2,10 AV/W 55 ST,40.768029,-73.989275,18.0
57,0,M31,404058,1,W 54 ST/11 AV,40.767925,-73.991859,18.0
58,0,M31,803001,5,W 57 ST/8 AV,40.766495,-73.982489,18.0
117,0,M5,404043,6,AV OF THE AMERICAS/W 45 ST,40.75703,-73.982378,18.0
118,0,M5,400938,7,AV OF THE AMERICAS/W 47 ST,40.75829,-73.981468,18.0
119,0,M5,403132,8,AV OF THE AMERICAS/W 50 ST,40.759771,-73.980381,18.0
120,0,M5,400940,9,AV OF THE AMERICAS/W 51 ST,40.760748,-73.97967,18.0
121,0,M5,400941,10,AV OF THE AMERICAS/W 54 ST,40.762617,-73.978301,18.0
122,0,M5,404992,11,AV OF THE AMERICAS/W 57 ST,40.764401,-73.977001,18.0
331,0,M20,404872,32,8 AV/W 46 ST,40.759796,-73.987859,18.0
332,0,M20,404846,33,8 AV/W 49 ST,40.761902,-73.986239,18.0
333,0,M20,401239,34,8 AV/W 52 ST,40.763788,-73.984867,18.0
334,0,M20,405393,35,8 AV/W  56 ST,40.766284,-73.983072,18.0
463,0,M2,400360,16,MADISON AV/E 49 ST,40.757755,-73.975576,18.0
464,0,M2,400363,19,MADISON AV/E 57 ST,40.762858,-73.971838,18.0
497,0,M2,400358,15,MADISON AV/E 45 ST,40.755233,-73.977403,18.0
498,0,M2,400361,17,MADISON AV/E 52 ST,40.759636,-73.974182,18.0
499,0,M2,400362,18,MADISON AV/E 55  ST,40.76114,-73.973144,18.0
521,0,M1,400360,21,MADISON AV/E 49 ST,40.757755,-73.975576,18.0
522,0,M1,400363,24,MADISON AV/E 57 ST,40.762858,-73.971838,18.0
537,0,M1,400358,20,MADISON AV/E 45 ST,40.755233,-73.977403,18.0
538,0,M1,400361,22,MADISON AV/E 52 ST,40.759636,-73.974182,18.0
539,0,M1,400362,23,MADISON AV/E 55  ST,40.76114,-73.973144,18.0
587,0,M3,400360,16,MADISON AV/E 49 ST,40.757755,-73.975576,18.0
588,0,M3,400363,19,MADISON AV/E 57 ST,40.762858,-73.971838,18.0
607,0,M3,400358,15,MADISON AV/E 45 ST,40.755233,-73.977403,18.0
608,0,M3,400361,17,MADISON AV/E 52 ST,40.759636,-73.974182,18.0
609,0,M3,400362,18,MADISON AV/E 55  ST,40.76114,-73.973144,18.0
786,0,M7,404043,12,AV OF THE AMERICAS/W 45 ST,40.75703,-73.982378,18.0
787,0,M7,400938,13,AV OF THE AMERICAS/W 47 ST,40.75829,-73.981468,18.0
788,0,M7,403132,14,AV OF THE AMERICAS/W 50 ST,40.759771,-73.980381,18.0
789,0,M7,400940,15,AV OF THE AMERICAS/W 51 ST,40.760748,-73.97967,18.0
790,0,M7,400941,16,AV OF THE AMERICAS/W 54 ST,40.762617,-73.978301,18.0
791,0,M7,404992,17,AV OF THE AMERICAS/W 57 ST,40.764401,-73.977001,18.0
835,0,M11,401408,16,10 AV/W 45 ST,40.761749,-73.993798,18.0
836,0,M11,401409,17,10 AV/W 47 ST,40.763025,-73.992874,18.0
837,0,M11,401410,18,10 AV/W 49 ST,40.764272,-73.991957,18.0
838,0,M11,401411,19,10 AV/W 53 ST,40.766418,-73.990397,18.0
839,0,M11,401412,20,10 AV/W 55 ST,40.768029,-73.989275,18.0
840,0,M11,401413,21,10 AV/W 57 ST,40.768926,-73.988563,18.0
883,0,M10,403846,1,8 AV/W  57 ST,40.76674,-73.982683,18.0
923,0,M104,404872,3,8 AV/W 46 ST,40.759796,-73.987859,18.0
924,0,M104,404846,4,8 AV/W 49 ST,40.761902,-73.986239,18.0
925,0,M104,401239,5,8 AV/W 52 ST,40.763788,-73.984867,18.0
926,0,M104,405393,6,8 AV/W  56 ST,40.766284,-73.983072,18.0
1018,0,M4,400360,7,MADISON AV/E 49 ST,40.757755,-73.975576,18.0
1019,0,M4,400363,10,MADISON AV/E 57 ST,40.762858,-73.971838,18.0
1032,0,M4,400358,6,MADISON AV/E 45 ST,40.755233,-73.977403,18.0
1033,0,M4,400361,8,MADISON AV/E 52 ST,40.759636,-73.974182,18.0
1034,0,M4,400362,9,MADISON AV/E 55  ST,40.76114,-73.973144,18.0
1098,0,M50,402160,2,12 AV/W 43 ST,40.762552,-74.000157,18.0
1099,0,M50,402161,3,12 AV/W 46 ST,40.764287,-73.998337,18.0
1100,0,M50,402162,4,12 AV/W 48 ST,40.765583,-73.997431,18.0
1101,0,M50,402163,5,W 50 ST/12 AV,40.766621,-73.996653,18.0
1102,0,M50,402164,6,W 50 ST/11 AV,40.765735,-73.994534,18.0
1103,0,M50,402165,7,W 50 ST/10 AV,40.764502,-73.991704,18.0
1104,0,M50,402166,8,W 50 ST/9 AV,40.763468,-73.989101,18.0
1105,0,M50,402167,9,W 50 ST/8 AV,40.762023,-73.985792,18.0
1106,0,M50,403760,10,W 50 ST/7 AV,40.761062,-73.983503,18.0
1107,0,M50,402169,11,W 50 ST/AV OF THE AMERICAS,40.759675,-73.980215,18.0
1108,0,M50,402171,12,E 50 ST/5 AV,40.758431,-73.977104,18.0
1109,0,M50,402172,13,E 50 ST/MADISON AV,40.757723,-73.975397,18.0
1348,1,M57,400745,13,W 57 ST/BROADWAY,40.766518,-73.982248,18.0
1349,1,M57,402233,14,W 57 ST/9 AV,40.768068,-73.985902,18.0
1350,1,M57,403986,15,W 57 ST/10 AV,40.769323,-73.988953,18.0
1351,1,M57,405562,16,11 AV/W 58 ST,40.771083,-73.990735,18.0
1366,1,M57,403617,8,E 57 ST/LEXINGTON AV,40.761183,-73.969508,18.0
1367,1,M57,803117,9,E 57 ST/MADISON AV,40.762383,-73.972425,18.0
1368,1,M57,402228,10,W 57 ST/5 AV,40.763167,-73.974327,18.0
1369,1,M57,402229,11,W 57 ST/AV OF THE AMERICAS,40.764577,-73.977639,18.0
1370,1,M57,400744,12,W 57 ST/7 AV,40.765736,-73.980402,18.0
1371,1,M12,400745,2,W 57 ST/BROADWAY,40.766518,-73.982248,18.0
1372,1,M12,402233,3,W 57 ST/9 AV,40.768068,-73.985902,18.0
1373,1,M12,403986,4,W 57 ST/10 AV,40.769323,-73.988953,18.0
1376,1,M12,803008,1,W 58 St/BROADWAY,40.767088,-73.981842,18.0
1377,1,M12,403987,5,11 AV/W 57 ST,40.770024,-73.991693,18.0
