from_stop_id,to_stop_id
101,101
103,103
104,104
106,106
107,107
108,108
109,109
110,110
111,111
112,112
112,A09
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
125,A24
126,126
127,127
127,725
127,902
127,A27
127,R16
128,128
129,129
130,130
131,131
132,132
132,D19
132,L02
133,133
134,134
135,135
136,136
137,137
138,138
139,139
140,140
140,R27
201,201
204,204
205,205
206,206
207,207
208,208
209,209
210,210
211,211
212,212
213,213
214,214
215,215
216,216
217,217
218,218
219,219
220,220
221,221
222,222
222,415
227,227
228,228
228,A36
228,E01
228,R25
229,229
229,418
229,A38
229,M22
230,230
231,231
232,232
232,423
232,R28
233,233
234,234
235,235
235,D24
235,R31
236,236
237,237
238,238
239,239
239,S04
241,241
242,242
243,243
244,244
245,245
246,246
247,247
248,248
249,249
250,250
251,251
252,252
253,253
254,254
254,L26
255,255
256,256
257,257
301,301
302,302
401,401
402,402
405,405
406,406
407,407
408,408
409,409
410,410
411,411
412,412
413,413
414,414
414,D11
415,222
415,415
416,416
418,229
418,418
418,A38
418,M22
419,419
420,420
423,232
423,423
423,R28
501,501
502,502
503,503
504,504
505,505
601,601
602,602
603,603
604,604
606,606
607,607
608,608
609,609
610,610
611,611
612,612
613,613
614,614
615,615
616,616
617,617
618,618
619,619
621,621
622,622
623,623
624,624
625,625
626,626
627,627
628,628
629,629
629,B08
629,R11
630,630
630,F11
631,631
631,723
631,901
632,632
633,633
634,634
635,635
635,L03
635,R20
636,636
637,637
637,D21
638,638
639,639
639,M20
639,Q01
639,R23
640,640
640,M21
701,701
702,702
705,705
706,706
707,707
708,708
709,709
710,710
710,G14
711,711
712,712
713,713
714,714
715,715
716,716
718,718
718,R09
719,719
719,F09
719,G22
720,720
721,721
723,631
723,723
723,901
724,724
724,D16
725,127
725,725
725,902
725,A27
725,R16
901,631
901,723
901,901
902,127
902,725
902,902
902,A27
902,R16
A02,A02
A03,A03
A05,A05
A06,A06
A07,A07
A09,112
A09,A09
A10,A10
A11,A11
A12,A12
A12,D13
A14,A14
A15,A15
A16,A16
A17,A17
A18,A18
A19,A19
A20,A20
A21,A21
A22,A22
A24,125
A24,A24
A25,A25
A27,127
A27,725
A27,902
A27,A27
A27,R16
A28,A28
