direction_id,route_id,stop_sequence,stop_name,stop_lat,stop_lon,stop_id,precinct,ADA,ADA Notes
0,1,1,South Ferry,40.702068,-74.013664,142,1.0,1,
1,1,38,South Ferry,40.702068,-74.013664,142,1.0,1,
0,1,2,Rector St,40.707513,-74.013783,139,1.0,0,
1,1,37,Rector St,40.707513,-74.013783,139,1.0,0,
0,1,3,WTC Cortlandt,40.711835,-74.012188,138,1.0,1,
1,1,36,WTC Cortlandt,40.711835,-74.012188,138,1.0,1,
0,1,4,Chambers St,40.715478,-74.009266,137,1.0,1,
0,2,20,Chambers St,40.715478,-74.009266,137,1.0,1,
0,3,23,Chambers St,40.715478,-74.009266,137,1.0,1,
1,1,35,Chambers St,40.715478,-74.009266,137,1.0,1,
1,2,42,Chambers St,40.715478,-74.009266,137,1.0,1,
1,3,12,Chambers St,40.715478,-74.009266,137,1.0,1,
0,1,5,Franklin St,40.719318,-74.006886,136,1.0,0,
0,2,21,Franklin St,40.719318,-74.006886,136,1.0,0,
1,1,34,Franklin St,40.719318,-74.006886,136,1.0,0,
1,2,41,Franklin St,40.719318,-74.006886,136,1.0,0,
0,1,6,Canal St,40.722854,-74.006277,135,1.0,0,
0,2,22,Canal St,40.722854,-74.006277,135,1.0,0,
1,1,33,Canal St,40.722854,-74.006277,135,1.0,0,
1,2,40,Canal St,40.722854,-74.006277,135,1.0,0,
0,1,7,Houston St,40.728251,-74.005367,134,1.0,0,
0,2,23,Houston St,40.728251,-74.005367,134,1.0,0,
1,1,32,Houston St,40.728251,-74.005367,134,1.0,0,
1,2,39,Houston St,40.728251,-74.005367,134,1.0,0,
0,2,17,Wall St,40.706821,-74.0091,230,1.0,0,
0,3,20,Wall St,40.706821,-74.0091,230,1.0,0,
1,2,45,Wall St,40.706821,-74.0091,230,1.0,0,
1,3,15,Wall St,40.706821,-74.0091,230,1.0,0,
0,2,18,Fulton St,40.709416,-74.006571,229,1.0,1,
0,3,21,Fulton St,40.709416,-74.006571,229,1.0,1,
1,2,44,Fulton St,40.709416,-74.006571,229,1.0,1,
1,3,14,Fulton St,40.709416,-74.006571,229,1.0,1,
0,2,19,Park Place,40.713051,-74.008811,228,1.0,0,
0,3,22,Park Place,40.713051,-74.008811,228,1.0,0,
1,2,43,Park Place,40.713051,-74.008811,228,1.0,0,
1,3,13,Park Place,40.713051,-74.008811,228,1.0,0,
