stop_id,direction_id,route_id,stop_sequence,stop_name,stop_lat,stop_lon,precinct,ADA,ADA Notes
0,0,1,1,South Ferry,40.702068,-74.013664,1.0,1,
1,1,1,38,South Ferry,40.702068,-74.013664,1.0,1,
2,0,1,2,Rector St,40.707513,-74.013783,1.0,0,
3,1,1,37,Rector St,40.707513,-74.013783,1.0,0,
4,0,1,3,WTC Cortlandt,40.711835,-74.012188,1.0,1,
5,1,1,36,WTC Cortlandt,40.711835,-74.012188,1.0,1,
6,0,1,4,Chambers St,40.715478,-74.009266,1.0,1,
7,0,2,20,Chambers St,40.715478,-74.009266,1.0,1,
8,0,3,23,Chambers St,40.715478,-74.009266,1.0,1,
9,1,1,35,Chambers St,40.715478,-74.009266,1.0,1,
10,1,2,42,Chambers St,40.715478,-74.009266,1.0,1,
11,1,3,12,Chambers St,40.715478,-74.009266,1.0,1,
12,0,1,5,Franklin St,40.719318,-74.006886,1.0,0,
13,0,2,21,Franklin St,40.719318,-74.006886,1.0,0,
14,1,1,34,Franklin St,40.719318,-74.006886,1.0,0,
15,1,2,41,Franklin St,40.719318,-74.006886,1.0,0,
16,0,1,6,Canal St,40.722854,-74.006277,1.0,0,
17,0,2,22,Canal St,40.722854,-74.006277,1.0,0,
18,1,1,33,Canal St,40.722854,-74.006277,1.0,0,
19,1,2,40,Canal St,40.722854,-74.006277,1.0,0,
20,0,1,7,Houston St,40.728251,-74.005367,1.0,0,
21,0,2,23,Houston St,40.728251,-74.005367,1.0,0,
22,1,1,32,Houston St,40.728251,-74.005367,1.0,0,
23,1,2,39,Houston St,40.728251,-74.005367,1.0,0,
24,0,2,17,Wall St,40.706821,-74.0091,1.0,0,
25,0,3,20,Wall St,40.706821,-74.0091,1.0,0,
26,1,2,45,Wall St,40.706821,-74.0091,1.0,0,
27,1,3,15,Wall St,40.706821,-74.0091,1.0,0,
28,0,2,18,Fulton St,40.709416,-74.006571,1.0,1,
29,0,3,21,Fulton St,40.709416,-74.006571,1.0,1,
30,1,2,44,Fulton St,40.709416,-74.006571,1.0,1,
31,1,3,14,Fulton St,40.709416,-74.006571,1.0,1,
32,0,2,19,Park Place,40.713051,-74.008811,1.0,0,
33,0,3,22,Park Place,40.713051,-74.008811,1.0,0,
34,1,2,43,Park Place,40.713051,-74.008811,1.0,0,
35,1,3,13,Park Place,40.713051,-74.008811,1.0,0,
36,0,4,18,Bowling Green,40.704817,-74.014065,1.0,1,
37,0,5,15,Bowling Green,40.704817,-74.014065,1.0,1,
38,1,4,37,Bowling Green,40.704817,-74.014065,1.0,1,
39,1,5,25,Bowling Green,40.704817,-74.014065,1.0,1,
40,0,4,19,Wall St,40.707557,-74.011862,1.0,0,
41,0,5,16,Wall St,40.707557,-74.011862,1.0,0,
42,1,4,36,Wall St,40.707557,-74.011862,1.0,0,
43,1,5,24,Wall St,40.707557,-74.011862,1.0,0,
44,0,4,20,Fulton St,40.710368,-74.009509,1.0,1,
45,0,5,17,Fulton St,40.710368,-74.009509,1.0,1,
46,1,4,35,Fulton St,40.710368,-74.009509,1.0,1,
47,1,5,23,Fulton St,40.710368,-74.009509,1.0,1,
48,0,4,21,Brooklyn Bridge-City Hall,40.713065,-74.004131,1.0,1,
49,0,5,18,Brooklyn Bridge-City Hall,40.713065,-74.004131,1.0,1,
50,0,6,1,Brooklyn Bridge-City Hall,40.713065,-74.004131,1.0,1,
51,0,6X,1,Brooklyn Bridge-City Hall,40.713065,-74.004131,1.0,1,
52,1,4,34,Brooklyn Bridge-City Hall,40.713065,-74.004131,1.0,1,
53,1,5,22,Brooklyn Bridge-City Hall,40.713065,-74.004131,1.0,1,
54,1,6,38,Brooklyn Bridge-City Hall,40.713065,-74.004131,1.0,1,
55,1,6X,33,Brooklyn Bridge-City Hall,40.713065,-74.004131,1.0,1,
56,0,A,31,Fulton St,40.710197,-74.007691,1.0,1,
57,0,C,17,Fulton St,40.710197,-74.007691,1.0,1,
58,1,A,29,Fulton St,40.710197,-74.007691,1.0,1,
59,1,C,24,Fulton St,40.710197,-74.007691,1.0,1,
60,0,A,32,Chambers St,40.714111,-74.008585,1.0,0,
61,0,C,18,Chambers St,40.714111,-74.008585,1.0,0,
62,1,A,28,Chambers St,40.714111,-74.008585,1.0,0,
63,1,C,23,Chambers St,40.714111,-74.008585,1.0,0,
64,0,A,33,Canal St,40.720824,-74.005229,1.0,0,
65,0,C,19,Canal St,40.720824,-74.005229,1.0,0,
66,0,E,2,Canal St,40.720824,-74.005229,1.0,0,
67,1,A,27,Canal St,40.720824,-74.005229,1.0,0,
68,1,C,22,Canal St,40.720824,-74.005229,1.0,0,
69,1,E,31,Canal St,40.720824,-74.005229,1.0,0,
70,0,A,34,Spring St,40.726227,-74.003739,1.0,0,
71,0,C,20,Spring St,40.726227,-74.003739,1.0,0,
72,0,E,3,Spring St,40.726227,-74.003739,1.0,0,
73,1,A,26,Spring St,40.726227,-74.003739,1.0,0,
74,1,C,21,Spring St,40.726227,-74.003739,1.0,0,
75,1,E,30,Spring St,40.726227,-74.003739,1.0,0,
76,0,E,1,World Trade Center,40.712582,-74.009781,1.0,1,
77,1,E,32,World Trade Center,40.712582,-74.009781,1.0,1,
78,0,J,1,Broad St,40.706476,-74.011056,1.0,0,
79,0,Z,1,Broad St,40.706476,-74.011056,1.0,0,
80,1,J,30,Broad St,40.706476,-74.011056,1.0,0,
81,1,Z,21,Broad St,40.706476,-74.011056,1.0,0,
82,0,J,2,Fulton St,40.710374,-74.007582,1.0,1,
83,0,Z,2,Fulton St,40.710374,-74.007582,1.0,1,
84,1,J,29,Fulton St,40.710374,-74.007582,1.0,1,
85,1,Z,20,Fulton St,40.710374,-74.007582,1.0,1,
86,0,N,23,Whitehall St-South Ferry,40.703087,-74.012994,1.0,0,
87,0,W,22,Whitehall St-South Ferry,40.703087,-74.012994,1.0,0,
88,0,R,17,Whitehall St-South Ferry,40.703087,-74.012994,1.0,0,
89,1,N,23,Whitehall St-South Ferry,40.703087,-74.012994,1.0,0,
90,1,W,23,Whitehall St-South Ferry,40.703087,-74.012994,1.0,0,
91,1,R,29,Whitehall St-South Ferry,40.703087,-74.012994,1.0,0,
92,0,N,24,Rector St,40.70722,-74.013342,1.0,0,
93,0,W,23,Rector St,40.70722,-74.013342,1.0,0,
94,0,R,18,Rector St,40.70722,-74.013342,1.0,0,
95,1,N,22,Rector St,40.70722,-74.013342,1.0,0,
96,1,W,22,Rector St,40.70722,-74.013342,1.0,0,
97,1,R,28,Rector St,40.70722,-74.013342,1.0,0,
98,0,N,25,Cortlandt St,40.710668,-74.011029,1.0,1,
99,0,W,24,Cortlandt St,40.710668,-74.011029,1.0,1,
100,0,R,19,Cortlandt St,40.710668,-74.011029,1.0,1,
101,1,N,21,Cortlandt St,40.710668,-74.011029,1.0,1,
102,1,W,21,Cortlandt St,40.710668,-74.011029,1.0,1,
103,1,R,27,Cortlandt St,40.710668,-74.011029,1.0,1,
104,0,N,26,City Hall,40.713282,-74.006978,1.0,0,
105,0,W,25,City Hall,40.713282,-74.006978,1.0,0,
106,0,R,20,City Hall,40.713282,-74.006978,1.0,0,
107,1,N,20,City Hall,40.713282,-74.006978,1.0,0,
108,1,W,20,City Hall,40.713282,-74.006978,1.0,0,
109,1,R,26,City Hall,40.713282,-74.006978,1.0,0,
110,0,N,27,Canal St,40.719527,-74.001775,1.0,0,
111,0,W,26,Canal St,40.719527,-74.001775,1.0,0,
112,0,R,21,Canal St,40.719527,-74.001775,1.0,0,
113,1,N,19,Canal St,40.719527,-74.001775,1.0,0,
114,1,W,19,Canal St,40.719527,-74.001775,1.0,0,
115,1,R,25,Canal St,40.719527,-74.001775,1.0,0,
116,0,1,8,Christopher St-Sheridan Sq,40.733422,-74.002906,6.0,0,
117,0,2,24,Christopher St-Sheridan Sq,40.733422,-74.002906,6.0,0,
118,1,1,31,Christopher St-Sheridan Sq,40.733422,-74.002906,6.0,0,
119,1,2,38,Christopher St-Sheridan Sq,40.733422,-74.002906,6.0,0,
120,0,1,9,14 St,40.737826,-74.000201,6.0,0,
121,0,2,25,14 St,40.737826,-74.000201,6.0,0,
122,0,3,24,14 St,40.737826,-74.000201,6.0,0,
123,1,1,30,14 St,40.737826,-74.000201,6.0,0,
124,1,2,37,14 St,40.737826,-74.000201,6.0,0,
125,1,3,11,14 St,40.737826,-74.000201,6.0,0,
126,0,A,35,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
127,0,C,21,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
128,0,E,4,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
129,1,A,25,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
130,1,C,20,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
131,1,E,29,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
132,0,B,12,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
133,0,D,23,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
134,0,F,27,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
135,0,FX,21,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
136,0,M,15,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
137,1,B,26,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
138,1,D,19,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
139,1,F,19,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
140,1,FX,19,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
141,1,M,22,W 4 St-Wash Sq,40.732338,-74.000495,6.0,1,
142,0,L,23,6 Av,40.737335,-73.996786,6.0,0,
143,1,L,2,6 Av,40.737335,-73.996786,6.0,0,
144,0,1,10,18 St,40.74104,-73.997871,13.0,0,
145,0,2,26,18 St,40.74104,-73.997871,13.0,0,
146,1,1,29,18 St,40.74104,-73.997871,13.0,0,
147,1,2,36,18 St,40.74104,-73.997871,13.0,0,
148,0,1,11,23 St,40.744081,-73.995657,13.0,0,
149,0,2,27,23 St,40.744081,-73.995657,13.0,0,
150,1,1,28,23 St,40.744081,-73.995657,13.0,0,
151,1,2,35,23 St,40.744081,-73.995657,13.0,0,
152,0,1,12,28 St,40.747215,-73.993365,13.0,0,
153,0,2,28,28 St,40.747215,-73.993365,13.0,0,
154,1,1,27,28 St,40.747215,-73.993365,13.0,0,
155,1,2,34,28 St,40.747215,-73.993365,13.0,0,
156,0,4,26,14 St-Union Sq,40.734673,-73.989951,13.0,0,
157,0,5,19,14 St-Union Sq,40.734673,-73.989951,13.0,0,
158,0,6,6,14 St-Union Sq,40.734673,-73.989951,13.0,0,
159,0,6X,6,14 St-Union Sq,40.734673,-73.989951,13.0,0,
160,1,4,29,14 St-Union Sq,40.734673,-73.989951,13.0,0,
161,1,5,21,14 St-Union Sq,40.734673,-73.989951,13.0,0,
162,1,6,33,14 St-Union Sq,40.734673,-73.989951,13.0,0,
163,1,6X,28,14 St-Union Sq,40.734673,-73.989951,13.0,0,
164,0,4,27,23 St,40.739864,-73.986599,13.0,1,
165,0,6,7,23 St,40.739864,-73.986599,13.0,1,
166,0,6X,7,23 St,40.739864,-73.986599,13.0,1,
167,1,4,28,23 St,40.739864,-73.986599,13.0,1,
168,1,6,32,23 St,40.739864,-73.986599,13.0,1,
169,1,6X,27,23 St,40.739864,-73.986599,13.0,1,
170,0,4,28,28 St,40.74307,-73.984264,13.0,2,Downtown only
171,0,6,8,28 St,40.74307,-73.984264,13.0,2,Downtown only
172,0,6X,8,28 St,40.74307,-73.984264,13.0,2,Downtown only
173,1,4,27,28 St,40.74307,-73.984264,13.0,2,Downtown only
174,1,6,31,28 St,40.74307,-73.984264,13.0,2,Downtown only
175,1,6X,26,28 St,40.74307,-73.984264,13.0,2,Downtown only
176,0,F,28,14 St,40.738228,-73.996209,13.0,0,
